code_name,code_value,latex_value,print_value
ARCHER,Global Warming: Understanding the Forecast,Global Warming: Understanding the Forecast,
MEDIUM_ARCHER,Understanding the Forecast,Understanding the Forecast,
SHORT_ARCHER,Forecast,Forecast,
PIELKE,The Climate Fix,The Climate Fix,
MEDIUM_PIELKE,The Climate Fix,The Climate Fix,
SHORT_PIELKE,Climate Fix,Climate Fix,
NORDHAUS,The Climate Casino,The Climate Casino,
MEDIUM_NORDHAUS,Climate Casino,Climate Casino,
SHORT_NORDHAUS,Casino,Casino,
RSTUDIO,RStudio,RStudio,
COO,CO~2~,\COO,
CARBONIC_ACID,H~2~CO~3~,\carbonicacid,
HPLUS,H^+^,\hplus,
BICARBONATE,HCO~3~^-^,\bicarbonate,
CARBONATE,CO~3~^-2^,\carbonate,
METHANE,CH~4~,\methane,
SLUGULATOR,SLUGULATOR,\SLUGULATOR,
GEOCARB,GEOCARB,\GEOCARB,
MODTRAN,MODTRAN,\MODTRAN,
HPLUS,H^+^,\Hplus,
HTWO,H~2~,\Htwo,
OTWO,O~2~,\Otwo,
NTWO,N~2~,\Ntwo,
OEIGHTEEN,^18^O,\Oeighteen,
OSIXTEEN,^16^O,\Osixeen,
CTWELVE,^12^C,\Ctwelve,
CTHIRTEEN,^13^C,\Cthirteen,
CFOURTEEN,^14^C,\Cfourteen,
HONE,^1^H,\Hone,
DEUTERIUM,^2^H,\deuterium,
MICRON,&mu;m,$\mu$m,
WAVENUMBER,cycles/cm,$\text{cycles}/\text{cm}$,
DEGREE_CELSIUS,&deg;C,$\SI{2}{\celsius},
